Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Summary,Text,Sentiment,Timestamp
224779,B0002D1590,A2FNPSXF7HPDNL,A. Ackerman,0,0,5,A bit pricey,"for 4 bottles, the Iron Chef website sells it for $20, if you want to start saving money you can get the 12 packs of bottles.  Even the Iron Chef Website charges 4.99/bottle, I don't remember it being that expensive in the grocery store!",negative,2007-11-11
484737,B000PUOPTM,A24E398DUHR3E1,Beachlurk,0,0,5,Best Rice Cake Ever,"More like a cracker than a rice cake, crunchy and wonderful. Perfect with cheese for the gluten free love of your life, or with a little butter for a lovely something to go with dinner. Excellent fresh product.",positive,2011-03-14
278547,B0012YGT9O,A3VQNTQORQBETW,Eric,1,1,5,NIce BIG leaf plant for inhouse,The plant came small and seems weak after the transportation. But now it is 3.5 ft tall with several 18 inches leaves. A good big leaf plant for in house. Highly recommended.,positive,2011-10-13
110790,B001EO7MHA,AV0IA7CFRP3JZ,Lorne B. Horst,0,0,5,Olive Oil at it's finest!,I thoroughly enjoyed this EVOO and the decorative drums are an excellent addition to a more masculine kitchen! Great Value too!,positive,2012-04-26
96331,B001EO5XK8,A32HSNK0YR0179,Kari,0,0,5,Fabulous Teas,These Teas are the best. Cannot live without them. They are great-hot; and they are great-cold! I was a coffee addict and have tried other teas throughout the years in attempts to pull away from coffee. THIS is the one that did it. No more falling off the wagon.  ;-) I'm sipping my tea at this moment. Yum!!!,positive,2011-06-16
354662,B0030KLW0Y,A2WX53PNPIOFJB,nwc,0,0,5,Great tasting hot sauce,"I've been a loyally follower of Marie Sharps ever since trying it on a vacation to Belize.  This stuff is the best, plain and simple.",positive,2012-10-12
239768,B000V98T3A,A14B7BSMFS44JS,acerlover,0,0,5,"worth the cost, great pasta","I bought the 2-pack.  this pasta is perfect!  i made cacio e pepe (pecorino/pepper/a bit of the pasta water)  the extra cost of this pasta is well worth it.  cooks up perfectly, wonderful texture!",positive,2010-10-17
434418,B00126W9BO,A1WYT747DEB80M,"Tuffy1 ""Tuffy1""",0,0,5,Expensive but brilliant.  So worth it.,"Brilliant.  Expensive but brilliant.  Tried this last year, savored it drop by drop.  I could not get it out of my mind but lost the bottle and label.  Just found it again buried under seed packets.<br />This can be used on mascarpone with a few walnuts, or dribbled over vanilla ice cream with grilled peaches on the side.  Or, in an orgy of extravagance,use with butter over waffles.  It's unique.  Reminds one of the scent of the air during a walk through a pine forest during a dry, warm day.<br />You can make a simple syrup to help stretch it out but thin it separately at each use, not all at once.  Total yum.",positive,2012-09-09
194220,B0009Y8AGI,A1OC9V2KPBUSMP,"Yoni C. Lazarus-potter ""Yoni Potter""",1,1,4,What a good find!,"Just wanted to say that I found this tea when my milk supply had started to decrease (about 4m post baby) I didnt want to stop nursing but my little one was getting VERY frustrated with the amount that was available. I found this tea at Stop n Shop in the health food section and gave it a try. After a week I noticed that my baby girl wasnt so frustrated and I was able to get back on schedule of pumping a little extra each day. Directions say to drink one cup of prepared tea 3-5 times daily. I drank it about 2-3 times daily but found the tea chilled was much better!<br />It has a bitter taste, but is definatly drinkable.<br />Definatly worth a try!!",negative,2008-03-11
305971,B001UQ2SH6,A1XL5ZSSYGS2DA,"J. Tagen ""Jeff""",1,2,1,Wrong product,"Purchased the 'Dole' fruit cups packed in fruit juice. Received the 'DelMonte' fruit cups packed in corn syrup. Still the wrong product, despite the title and photo!",negative,2012-01-06
98337,B004GW6O9E,A3PAO6LO58KQ9T,J. Niblock,1,1,5,great vegan snack,This is a great vegan and gluten free snack.  A lifesaver to have on hand when other vegan gluten free food is not available.,positive,2009-08-04
105641,B007BIUB62,A2WW3L67P08I2R,carolyn farinella,0,0,5,PureVia Natural Zero Calorie Sweetener,I ordered the PureVia all Natural Zero Calorie Sweetener.  The 800 packets of natural sweetener were quickly received.  The box of sweetener packets comes in a handy dispenser which is neat and convenient.,positive,2012-10-24
87001,B006W6YHYQ,AFJ0IJN9MUSG3,"Linda A. Smith ""Lindinva""",0,0,5,Yummy!,My dog loves Greenies. It is usually a rare treat because it is so expensive. I was thrilled to find this lightning deal. I only wish that I could have bought more than one canister. Thanks for giving Scooter 24 days of delicious treats.,positive,2012-09-11
533397,B003KYM9YS,AF4286H9FPRMR,pixiepoe,0,0,5,ummm can we say tasty!,so what I tried them...and they were goooood!!  They are perfect for onthe go families!  I bought the spoons that go with and we feed our princess where ever when ever!  This makes for happy parents and a happy baby when the older siblings have a practice or game that runs late!,positive,2011-03-07
269867,B003IWDOY6,A1UT9GLK53A723,yay!,0,0,5,Delicious!,"These are more salty than they are spicy. On the outside, it's a toned down version of the mango flavored Mexican lollypops. On the inside, it's tastes quite sweet but does not taste anything like strawberries. Over all, the mango flavored one is still a little better but if you're deciding between this or the watermelon one, get this bag instead! The watermelon one tasted gross.",negative,2012-04-16
260668,B004MN7NIS,A1QVZFSAS826XI,kelly,1,1,5,"Great taste, why so expensive, Amazon?",I LOVE this oatmeal- and this is my favorite flavor. But I don't understand why it's so expensive. It is hard to find at some grocery stores in my area. But the ones who sell it do so for less than $2/box... not $7!,positive,2012-04-12
370072,B001VNGO7S,A2M9Z11S0S9DBD,Suzan Touchette,5,5,5,Perfect,"Nice, fresh and very flavorful, unlike the typical store paprika.  Be sure to put it in an air-tight container.",positive,2011-06-09
418850,B000MXHQXO,AH5GCNH82ZU0C,"*~*~*Valley*~*~* ""Val""",0,0,5,Just fine!,Convenient. Didn't have to go to the grocery store and haul them. My baby eats a LOT so this really was a good thing.,positive,2010-06-24
94388,B006JGHMX2,AR6Z46QF41UWO,Pauline Scola,0,0,5,awesome taste,this product was hard to find.  I was thrilled to find it at Amazon.  If you like figs and dark chocolate (not a candy coating) - this is the bar for  you!,positive,2012-05-18
338907,B000JMFCSE,A2Y695A1DXMT1J,Drew Samson,0,0,3,The Original Energy Drink,"If you like Red Bull you'll like this -- but since I don't, yeah. This basically tastes like Sprite or 7 up, but it's orange in color, and is a bit more sour, and also less sugary. It's made in China too, which I find pretty weird.",positive,2012-04-12
456075,B002PB0RBO,A3RZ52KR4K1M90,"Juan Carlos Torres ""Juan Carlos Torres""",0,0,5,the best gluten free cookies,"These cookies are the closest to the real thing, I have tried many gluten free cookies and  were never satisfied with the taste of any of them. Most of this kind of cookies are too sweet and feel weird.",positive,2008-05-06
